division,idno,subjects,name,degree
First ,01MH042000,COMMN.ENGG                                                                                                                                            ,Shri Sanjeev Kumar,"M TECH                                            ,IIT Kanpur"
First ,01MH042000,FINCL MGT                                         PROJECT MGT                                                                                         ,Shri Sanjeev Kumar,"MBA                                               ,Jamna Lal Bajaj Univ.of Mumbai Mumbai"
First ,01MH042100,COMMERCE                                          ACCOUNTANCY                                                                                         ,Shri Jagdish Prasad Gupta,P.G.
First ,01MH042200,LAW                                                                                                                                                   ,Ms. Manisha Verma,LL.B.                                             
First ,01MH042300,ELECTRONICS                                       POWER SYS ENGG                                                                                      ,Dr. Surendra Kumar Bagde,B E                                               
 ,01MH042300,APPLIED ECO.                                      MANAGEMENT                                                                                          ,Dr. Surendra Kumar Bagde,"Ph.D,Carnegie Mellon University Pennsylvania"
 ,01MH042311,PLANT PATHOLOGY                                                                                                                                       ,Shri Mahesh R Zagade,P.G.
 ,01MH042311,AGRICULTURE                                                                                                                                           ,Shri Mahesh R Zagade,GRADUATE                                          
Ordinary ,01MH042400,ART                                                                                                                                                   ,Ms. Abha Shukla,GRADUATE                                          
Ordinary ,01MH042400,GEOGRAPHY                                                                                                                                             ,Ms. Abha Shukla,P.G.
Ordinary ,01MH042413,N.A.                                                                                                                                                  ,Shri S S Zende,GRADUATE                                          
Ordinary ,01MH042415,AGRICULTURE                                                                                                                                           ,Shri T V Satre,P.G.
Ordinary ,01MH042415,AGRICULTURE                                                                                                                                           ,Shri T V Satre,GRADUATE                                          
Ordinary ,01MH042420,N.A.                                                                                                                                                  ,Shri S K Sawant,GRADUATE                                          
First ,01MH042500,CIVIL ENGG                                                                                                                                            ,Shri Lokesh Chandra,M TECH                                            
First ,01MH042600,LAW                                                                                                                                                   ,Ms. Vennecaganti Radha,LL.B.                                             
Ordinary ,01MH042600,SCIENCE                                                                                                                                               ,Ms. Vennecaganti Radha,GRADUATE                                          
Second ,01MH042700,ELECTRONICS                                       TELECOMM ENGG                                                                                       ,Shri Vikas Shankar Kharage,B E                                               
First ,01MH042800,GENETICS                                                                                                                                              ,Shri B. V. Gopala Reddy,P.G.
Ordinary ,01MH042800,AGRICULTURE                                                                                                                                           ,Shri B. V. Gopala Reddy,GRADUATE                                          
First ,01MH042900,MECH.ENGG.                                                                                                                                            ,Shri Asheemkumar S K Gupta,M TECH                                            
Ordinary ,01MH042900,NAVAL ARCHITRE                                                                                                                                        ,Shri Asheemkumar S K Gupta,B TECH                                            
First ,01MH043100,COMPUTER SC                                                                                                                                           ,Shri Dinesh Tarachand Waghmare,M TECH                                            
Ordinary ,01MH043100,ELECTRONICS ENGG                                                                                                                                      ,Shri Dinesh Tarachand Waghmare,B E                                               
First ,01MH043200,AGRICULTURE                                                                                                                                           ,Dr.(Ms.) Mary Neelima Karketta,Ph.D
First ,01MH043201,POLITICAL SC.                                                                                                                                         ,Ms. Sonia Sethi Bali,P.G.
First ,01MH043202,ELECTRICAL ENGG                                                                                                    ,Shri Santosh Kumar,B TECH                                            
First ,01MH043202,ELECTRICAL ENGG                                                                                                    ,Shri Santosh Kumar,M TECH                                            
First ,01MH043211,GEOGRAPHY                                                                                                                                             ,Dr. V N More,P.G.
First ,01MH043211,GEOGRAPHY                                                                                                                                             ,Dr. V N More,M.PHIL                                            
First ,01MH043300,ENGLISH                                                                                                                                               ,Ms. Ashwini Satish Bhide,GRADUATE                                          
First ,01MH043300,ENGLISH                                                                                                                                               ,Ms. Ashwini Satish Bhide,P.G.
Ordinary ,01MH043500,MEDICINE                                          SURGERY                                                                                             ,Dr. K H Govinda Raj,MBBS                                              
First ,01MH043600,ENERGY PLANNING                                                                                                                                       ,Shri Vikas Chandra Rastogi,M TECH                                            
First ,01MH043700,MATHEMATICS                                       PHYSICS                                           CHEMISTRY                                         ,Ms. Radhika Rastogi,GRADUATE                                          
Ordinary ,01MH043700,MANAGEMENT                                                                                                                                            ,Ms. Radhika Rastogi,DIPLOMA                                           
Ordinary ,01MH043711,ECONOMICS                                                                                                                                             ,Shri R L Mopalwar,GRADUATE                                          
Ordinary ,01MH043711,LAW                                                                                                                                                   ,Shri R L Mopalwar,P.G.
Ordinary ,01MH043715,N.A.                                                                                                                                                  ,Shri S B Patil,GRADUATE                                          
Ordinary ,01MH043715,LAW                                                                                                                                                   ,Shri S B Patil,LL.B.                                             
Ordinary ,01MH043721,N.A.                                                                                                                                                  ,Shri P K Deshmukh,GRADUATE                                          
Ordinary ,01MH043722,N.A.                                                                                                                                                  ,Shri C N Dalvi,GRADUATE                                          
Second ,01MH043800,POLITICAL SC.                                                                                                                                         ,Ms. Idzes Angmo Kundan,GRADUATE                                          
First ,01MH043800,INTNL POLITICS                                                                                                                                        ,Ms. Idzes Angmo Kundan,M.PHIL                                            
First ,01MH043800,INTNL POLITICS                                                                                                                                        ,Ms. Idzes Angmo Kundan,P.G.
Ordinary ,01MH043811,N.A.                                                                                                                                                  ,Shri U G Dangat,GRADUATE                                          
Ordinary ,01MH043819,N.A.                                                                                                                                                  ,Shri P T Nalawade,GRADUATE                                          
Ordinary ,01MH043823,N.A.                                                                                                                                                  ,Shri B R Jadhav,GRADUATE                                          
Second ,01MH043827,ENGLISH LIT                                                                                                                                           ,Shri V M Patil,MA
Ordinary ,01MH043824,N.A.                                                                                                                                                  ,Shri N K Deshmukh,GRADUATE                                          
Ordinary ,01MH043828,N.A.                                                                                                                                                  ,Shri M B Gaikawad,GRADUATE                                          
Ordinary ,01MH043830,N.A.                                                                                                                                                  ,Shri S M Sarkunde,GRADUATE                                          
Ordinary ,01MH043831,N.A.                                                                                                                                                  ,Shri R D Devakar,GRADUATE                                          
First ,01MH043900,MEDICINE                                          SURGERY                                                                                             ,Dr. Sanjay Ajoykumar Mukerjee,MBBS                                              
 ,01MH043900,PERS0NNEL ADMN                                                                                                                                        ,Dr. Sanjay Ajoykumar Mukerjee,BA
First ,01MH044000,ELECTRICAL ENGG                                                                                                    ,Shri Paraag Jaiin Nainuttia,B TECH                                            
Ordinary ,01MH044000,EXPORT                                                                                                                                                ,Shri Paraag Jaiin Nainuttia,DIPLOMA                                           
First ,01MH044100,ELECTRONICS                                       COMMN.ENGG                                                                                          ,Shri Rupinder Singh,B E                                               
Second ,01MH044100,ECONOMICS                                                                                                                                             ,Shri Rupinder Singh,"MA,Punjabi University Patiala (Punjab)"
Second ,01MH044200,LAW                                                                                                                                                   ,Shri S Chockalingam,LL.B.                                             
First ,01MH044300,ELECTRICAL ENGG                                                                                                    ,Shri Sanjay Agarwal,B TECH                                            
First ,01MH044400,AGRICULTURE                                                                                                                                           ,Shri Sanjay Jagannath Khandare,B TECH                                            
First ,01MH044400,INDL ENGG.                                                                                                                                            ,Shri Sanjay Jagannath Khandare,M TECH                                            
Second ,01MH044500,POLITICAL SC.                                                                                                                                         ,Shri Sanjeev Jaiswal,GRADUATE                                          
First ,01MH044600,TEXTILE ENGG.                                                                                                                                         ,Shri Asheesh Sharma,B TECH                                            
Second ,01MH044501,ENGLISH LIT                                                                                                                                           ,Ms. Vinita Ved,P.G.
First ,01MH044700,CIVIL ENGG                                                                                                                                            ,Shri Vijay Singhal,B E                                               
First ,01MH044700,CONSTRUCTION MGT                                  BUILDING SC                                                                                         ,Shri Vijay Singhal,M TECH                                            
First ,01MH044800,PRODN.ENGG.                                                                                                                                           ,Shri Eknath Rajaram Dawale,B E                                               
First ,01MH044800,PRODN.ENGG.                                                                                                                                           ,Shri Eknath Rajaram Dawale,M TECH                                            
Ordinary ,01MH044811,N.A.                                                                                                                                                  ,Shri A L Jarhad,GRADUATE                                          
Ordinary ,01MH044813,N.A.                                                                                                                                                  ,Shri Y E Kerure,GRADUATE                                          
Ordinary ,01MH044815,N.A.                                                                                                                                                  ,Shri S R Daund,GRADUATE                                          
Ordinary ,01MH044812,MARKETING MGT                                                                                                                                         ,Shri R R Chavan,MBA                                               
Ordinary ,01MH044812,SCIENCE                                                                                                                                               ,Shri R R Chavan,GRADUATE                                          
Ordinary ,01MH044816,N.A.                                                                                                                                                  ,Shri P N Bhapakar,GRADUATE                                          
First with Distinction,01MH045000,ELECTRONICS                                       COMMUNICATION                                                                                       ,Shri Rajeev Kumar Mital,"B E                                               ,Delhi University Delhi"
First with Distinction,01MH045000,ELECTRONICS                                       COMMUNICATION                                                                                       ,Shri Rajeev Kumar Mital,"M.E.                                              ,Delhi University Delhi"
 ,01MH045000,PUBLIC ADMN                                                                                                                                           ,Shri Rajeev Kumar Mital,"M.P.A.,Syracuse University New York"
Second ,01MH044900,MEDICINE                                          SURGERY                                           GYNAECOLOGY                                       ,Dr. Harshdeep Shriram Kamble,MBBS                                              
First ,01MH045100,CIVIL ENGG                                                                                                                                            ,Shri Saurabh Vijay,B TECH                                            
 ,01MH045200,CIVIL ENGG                                                                                                                                            ,Shri Pravin Chindu Darade,B E                                               
First ,01MH045200,STRUCTURAL ENGG                                                                                                                                       ,Shri Pravin Chindu Darade,M TECH                                            
First ,01MH045300,ELECTRONICS                                                                                                                                           ,Shri Ranjeet Singh Deol,B E                                               
Ordinary ,01MH045311,N.A.                                                                                                                                                  ,Shri D S Dhokrajurkar,GRADUATE                                          
Ordinary ,01MH045312,N.A.                                                                                                                                                  ,Shri H K Jawalr,GRADUATE                                          
Ordinary ,01MH045313,N.A.                                                                                                                                                  ,Shri R R Jadhav,GRADUATE                                          
Ordinary ,01MH045314,N.A.                                                                                                                                                  ,Shri V V Deshmukh,GRADUATE                                          
Ordinary ,01MH045315,N.A.                                                                                                                                                  ,Shri S P Kadu,GRADUATE                                          
Ordinary ,01MH045316,N.A.                                                                                                                                                  ,Shri J D Patil,GRADUATE                                          
First ,01MH045319,ECONOMICS                                         POLITICAL SC.                                     ACCOUNTANCY                                       ,Shri Philip D Gabrial,GRADUATE                                          
First ,01MH045319,LAW                                                                                                                                                   ,Shri Philip D Gabrial,LL.B.                                             
First ,01MH045319,ECONOMICS                                                                                                                                             ,Shri Philip D Gabrial,P.G.
First ,01MH045319,BUSINESS MGT                                                                                                                                          ,Shri Philip D Gabrial,DIPLOMA                                           
Ordinary ,01MH045320,N.A.                                                                                                                                                  ,Shri M H Sawant,GRADUATE                                          
Pass,01MH045323,N.A.                                                                                                                                                  ,Shri P. B. Kalbhor,GRADUATE                                          
Pass,01MH045325,N.A.                                                                                                                                                  ,Shri A. T. Kumbhar,GRADUATE                                          
Pass,01MH045326,N.A.                                                                                                                                                  ,Shri V. J. Bhosle,GRADUATE                                          
Pass,01MH045330,N.A.                                                                                                                                                  ,Shri S. S. Deshmukh,GRADUATE                                          
First ,01MH045400,ELECTRICAL ENGG                                                                                                    ,Shri Kunal Kumar,B E                                               
First ,01MH045401,BOTANY                                            ZOOLOGY                                           CHEMISTRY                                         ,Ms. Anshu Sinha,GRADUATE                                          
First ,01MH045401,BOTANY                                                                                                                                                ,Ms. Anshu Sinha,P.G.
First ,01MH045500,ZOOLOGY                                                                                                                                               ,Ms. Richa Bagla,"GRADUATE                                          ,Hindu College Delhi Univ. "
First ,01MH045500,ZOOLOGY                                                                                                                                               ,Ms. Richa Bagla,"P.G.,Hindu College Delhi Univ. "
Second ,01MH045600,GEOLOGY                                           CHEMISTRY                                         ZOOLOGY                                           ,Shri Atul Patne,GRADUATE                                          
Second ,01MH045600,GEOLOGY                                                                                                                                               ,Shri Atul Patne,P.G.
First ,01MH045700,POLITICAL SC.                                                                                                                                         ,Ms. Indra Mallo,GRADUATE                                          
First ,01MH045700,SOCIOLOGY                                                                                                                                             ,Ms. Indra Mallo,P.G.
Second ,01MH045900,CIVIL ENGG                                                                                                                                            ,Shri Piyush Singh,B TECH                                            
 ,01MH045901,MECH.ENGG.                                                                                                                                            ,Shri N Nawin Sona,B E                                               
Second ,01MH046100,MEDICINE                                          SURGERY                                                                                             ,Dr. Shrikar Keshav Pardeshi,MBBS                                              
First ,01MH046100,MEDICINE                                                                                                                                              ,Dr. Shrikar Keshav Pardeshi,M.D.
First ,01MH046000,PETROLEUM ENGG                                                                                                                                        ,Shri Niranjan Kumar Sudhansu,B TECH                                            
First ,01MH046101,MEDICINE                                                                                                                                              ,Dr.(Ms.) Nidhi Pandey,MBBS                                              
Second ,01MH046102,COMPUTER SC                                                                                                                                           ,Ms. Vijayalakshmi Bidari,B E                                               
First ,01MH046200,MEDICINE                                          SURGERY                                                                                             ,Dr. Nipun Vinayak,MBBS                                              
First ,01MH046300,VETERINARY SC.                                                                                                                                        ,Dr. Anbalagan P.,B.V.SC & A.H                                      
First ,01MH046300,DAIRY SCIENCE                                     NUTRITION                                                                                           ,Dr. Anbalagan P.,P.G.
First ,01MH046400,ENGLISH LIT                                                                                                                                           ,Ms. P. R. Lavangare,GRADUATE                                          
Second ,01MH046400,HISTORY                                           PERS.MGT.                                         INDUS RELATIONS                                   ,Ms. P. R. Lavangare,P.G.
First ,01MH046500,AGRICULTURE                                                                                                                                           ,Shri P Velrasu,GRADUATE                                          
First ,01MH046500,AGRL.ECONOMICS                                                                                                                                        ,Shri P Velrasu,P.G.
First ,01MH046600,GYNAECOLOGY                                       OPTHALMOLOGY                                                                                        ,Dr. Gedam Praveen Nilkan,MBBS                                              
Second ,01MH046700,ZOOLOGY                                           BOTANY                                            CHEMISTRY                                         ,Shri Anup Kumar Yadav,GRADUATE                                          
First ,01MH046700,CHEMISTRY                                                                                                                                             ,Shri Anup Kumar Yadav,P.G.
Second ,01MH046700,LAW                                                                                                                                                   ,Shri Anup Kumar Yadav,LL.B.                                             
First ,01MH046800,ELECTRONICS                                       COMMN.ENGG                                                                                          ,Shri Pankaj Kumar,B E                                               
First ,01MH046900,MECH.ENGG.                                                                                                                                            ,Shri M. Sankaranarayanan,"B TECH                                            ,IIT,MUMBAI "
Second ,01MH047000,ANCIENT HISTORY                                   PHILOSOPHY                                        POLITICAL SC.                                     ,Shri Saurabh Rao,"BA,ALLHABAD "
Second ,01MH047000,POLITICAL SC.                                                                                                                                         ,Shri Saurabh Rao,"MA,LUCKNOW "
Second ,01MH047100,MEDICINE                                          SURGERY                                                                                             ,Dr. Sanjeev Kumar,"MBBS                                              ,JAMMU "
First ,01MH047200,ECONOMICS                                                                                                                                             ,Ms. Shaila A,"BA,KOTTAYAM "
First ,01MH047200,ECONOMICS                                                                                                                                             ,Ms. Shaila A,"MA,KOTTAYAM "
First ,01MH047200,SOCIAL STUDIES                                                                                                                                        ,Ms. Shaila A,"B ED                                              ,KOTTAYAM "
Second ,01MH047201,POLITICAL SC.                                     PUBLIC ADMN                                       HISTORY                                           ,Ms. Jayashree S Bhoj,"B.A. (Hons),DELHI "
Second ,01MH047500,ARCHITECTURE                                                                                                                                          ,Shri Vikram Kumar,"B.ARCH                                            ,HARYANA "
First ,01MH047400,ECONOMICS                                                                                                                                             ,Shri Parimal Singh,"BA,MUMBAI "
First ,01MH047400,ECONOMICS                                                                                                                                             ,Shri Parimal Singh,"MA,J.N.U. "
First ,01MH047600,MECH.ENGG.                                                                                                                                            ,Shri Waghmare Vijay Balkrishna,"B E                                               ,NAGPUR "
Second ,01MH047600,MARKETING                                                                                                                                             ,Shri Waghmare Vijay Balkrishna,"MBA                                               ,IIM,AHMEDABAD "
First ,01MH047700,VETERINARY SC.                                                                                                                                        ,Dr. Ramaswami N,"B.V.SC & A.H                                      ,TANUVAS "
First ,01MH047700,ANIMAL HUSBY                                                                                                                                          ,Dr. Ramaswami N,"M.V.SC.                                           ,IVRI,DEEMED "
 ,01MH047900,HISTORY                                           SOCIOLOGY                                         POLITICAL SC.                                     ,Shri Mundhe Tukaram Haribhau,"BA,Dr.Babasaheb Amb.Marathawada Univ. Aurangabad"
 ,01MH047900,POLITICAL SC.                                                                                                                                         ,Shri Mundhe Tukaram Haribhau,"MA,Dr.Babasaheb Ambed.Marathawada Univ Aurangabad"
First ,01MH047800,INSTRUMENTATION                                                                                                                                       ,Shri Hardikar Shravan Pramod,"B E                                               ,U/Pune Pune"
First ,01MH048000,MEDICINE                                          SURGERY                                                                                             ,Dr. Vipin Sharma,"MBBS                                              ,M.D.University "
First ,01MH048100,HISTORY                                                                                                                                               ,Shri Rahul Ranjan Mahiwal,"B.A. (Hons),Patna University "
Second ,01MH048100,HISTORY                                                                                                                                               ,Shri Rahul Ranjan Mahiwal,"MA,Patna University "
 ,01MH048200,ELECTRICAL ENGG                                                                                                    ,Shri Dheeraj Kumar,"B TECH                                            ,IIT Kanpur Kanpur"
Pass,01MH048300,                                                                                                                                                      ,Dr.(Ms.) Ashwini Madhukar Joshi,"B.D.S.,GD&H, Mumbai Mumbai"
First ,01MH048400,POLITICAL SC.                                     PHILOSOPHY                                        ANCIENT HISTORY                                   ,Shri Abhishek Krishna,"BA,ALLAHABAD "
First ,01MH048400,LAW                                                                                                                                                   ,Shri Abhishek Krishna,"LL.B.                                             ,ALLAHABAD "
First ,01MH048500,PHYSICS                                           CHEMISTRY                                         MATHEMATICS                                       ,Shri Virendra Singh,"B.Sc.,JNU Delhi"
First ,01MH048600,CHEMISTRY                                         BOTANY                                            ZOOLOGY                                           ,Shri Deependra Singh Kushwah,"B.Sc.,JIVAJI UNIVERSITY "
First ,01MH048600,PUBLIC ADMN                                                                                                                                           ,Shri Deependra Singh Kushwah,"M.P.A.,JIVA JI UNIVERSITY M.P."
First ,01MH048700,ELECTRONICS                                       COMMUNICATION                                                                                       ,Shri Om Prakash Bakoria,"B E                                               ,REC Bhopal MP"
First ,01MH048700,DIGITAL COMMN ENGG                                                                                                                                    ,Shri Om Prakash Bakoria,"M TECH                                            ,REC Bhopal Bhopal"
Pass,01MH048800,MEDICINE                                          SURGERY                                                                                             ,Dr. Amit Saini,"MBBS                                              ,Medical College Punjab University Chandigarh"
First ,01MH048900,SCIENCE                                                                                                                                               ,Shri Sachindra Pratap Singh,"B.Sc.,Univ. of Allahabad "
 ,01MH049000,MEDICINE                                          SURGERY                                                                                             ,Dr.(Ms.) Madhavi G Khode,"MBBS                                              ,Nagpur University "
Second ,01MH049100,COMMERCE                                                                                                                                              ,Shri Ashwani Mudgil,"B.Com.,MLB Autonomous Col. Jiwaji University Gwalior"
First with Distinction,01MH049300,COMMERCE                                          TAXATION                                          Costing,Ms. Mehta Sampada Suresh,"B.Com.,S  P College Pune University "
 ,01MH049300,ACCOUNTANCY.CHD                                                                                                                                       ,Ms. Mehta Sampada Suresh,"CHARTERED ACCTT.                                  ,C.A. of India "
First ,01MH049300,ACCOUNTANCY.CHD                                   TAXATION                                                                                            ,Ms. Mehta Sampada Suresh,"M.Com.,Pune University "
 ,01MH049200,MEDICINE                                          SURGERY                                                                                             ,Dr. Nirupama J. Dange,"MBBS                                              ,MM C, Mumbai "
First with Distinction,01MH049400,ECONOMICS                                         HISTORY                                           POLTICS                                           ,Shri Bangar Abhijit Sudhakar,"BA,S.P. College Pune University "
First ,01MH049400,ECONOMICS                                                                                                                                             ,Shri Bangar Abhijit Sudhakar,"MA,Gokhale Institute University "
First ,01MH049500,POLITICAL SC.                                     HISTORY                                           ECONOMICS                                         ,Ms. Rubal Gupta,"BA,Govt.College Deoli M.D.S. Univ "
First ,01MH049600,AGRICULTURE                                                                                                                                           ,Shri Radhakrishnan Balasubramanian,"B.Sc.(Agri),Adcigri T.N.Agricultural Univ "
First ,01MH049600,MICROBIOLOGY                                                                                                                                          ,Shri Radhakrishnan Balasubramanian,"M.Sc.,IARI New Delhi New Delhi Univ "
First ,01MH049700,NavigationVoyage PlanningNautical Science,Shri Ranjit Kumar,"B.Sc.,T S Chanakya Mumbai University "
First ,01MH049800,BOTANY                                                                                                                                                ,Shri E Ravendiran,"B.Sc.,Madras Christian College Madras University "
Second ,01MH049900,HISTORY                                                                                                                                               ,Shri Naval Kishore Ram,"B.A. (Hons),Hindu College Delhi University "
Second ,01MH049900,HISTORY                                                                                                                                               ,Shri Naval Kishore Ram,"MA,Hindu College Delhi University "
First ,01MH108N01,HINDI                                             HONS                                                                                                ,Ms. Shweta Singhal,"BA,LSR College Delhi Delhi"
Second ,01MH108N01,HINDI                                                                                                                                                 ,Ms. Shweta Singhal,"P.G.,Hindu College Delhi Delhi"
First ,01MH108N01,HINDI                                                                                                                                                 ,Ms. Shweta Singhal,"M.PHIL                                            ,North Compus Delhi Delhi"
First with Distinction,01MH108N02,POLITICAL SC.                                     GEOGRAPHY                                                                                           ,Ms. Sheetal Shahajirao Ugale,"BA,Sir Parashurambhau college Pune Pune"
First ,01MH108N04,ECONOMICS                                         STATISTICS                                        C.A.                                              ,Shri G Sreekanth,"B.Com.,P.G.R.R.C.D.E. Osmania Andhra Pradesh"
First with Distinction,01MH108N05,Electronics & Telecom Engg                                                  COMMUNICATION                                     ,Shri Pradeep P,"B E                                               ,Visveswaraiah Technological Uni. Belgaum Karnataka"
Second ,01MH108N06,DENTISTRY                                                                                                                                             ,Dr. Prashant Bholanath Narnaware,"B.D.S.,Govt.Dental College Nagpur Nagpur"
Second ,01MH108N07,ELECTRICAL ENGG                                                                                                    ,Shri Ruchesh Jaivanshi,"B TECH                                            ,I.I.T Delhi Delhi Delhi"
First ,01MH108N08,ENGLISH                                           HISTORY                                           POLITICAL SC.                                     ,Shri Amgothu Sri Ranga Naik,"BA,A.C.College Acharya Nagarjuna "
First ,01MH109N01,ECONOMICS                                                                                                                                             ,Shri Shelesh Nawal,"B.A. (Hons),Shri Ram Col.of Com. Delhi University "
First ,01MH109N01,ECONOMICS                                                                                                                                             ,Shri Shelesh Nawal,"MA,Delhi Sch. of Eco. Delhi University "
 ,01MH109N02,MECH.ENGG.                                                                                                                                            ,Shri Rahul Dwivedi,"B TECH                                            ,IIT Madras "
First ,01MH109N03,PHILOSOPHY                                                                                                                                            ,Ms. Suman Rawat,"B.A. (Hons),Daulat Ram Col. Univ.of Delhi "
First ,01MH109N03,PHILOSOPHY                                                                                                                                            ,Ms. Suman Rawat,"MA,Hindu College University of Delhi "
 ,01MH109N04,LAW                                                                                                                                                   ,Shri Ashutosh Salil,"BA,Nl law Sch.of India Univ Banglore"
 ,01MH109N04,LAW                                                                                                                                                   ,Shri Ashutosh Salil,"LL.B.                                             ,National Law School Nl. Law Shool of India University Bangalore"
First ,01MH109N05,ELECTRONICS                                       ELECTRICAL ENGG                                                  ,Shri Anil Bhandari,"B E                                               ,Punjab Engg College Punjab University "
First ,01MH109N06,INSTRUMENTATION                                                                                                                                       ,Ms. Prerna Deshbhratar,"B E                                               ,Govt.Col.of Engg. Amravati"
First ,01MH110J02,DEFENCE STUDIES                                   Medieval Indian HistoryLITERATURE                                        ,Shri Astik Kumar Pandey,"BA,University of Allahabad Allahabad"
