division,idno,subjects,name,degree
First ,01AM019900,ECONOMICS                                                                                                                                             ,Shri Sailesh,GRADUATE                                          
Second ,01AM019900,ECONOMICS                                                                                                                                             ,Shri Sailesh,P.G.
Grade 'A',01AM019900,BUSINESS ADMN.                                                                                                                                        ,Shri Sailesh,PG DIPLOMA                                        
 ,01AM019900,INTNL STUDIES                                                                                                                                         ,Shri Sailesh,"P.G.,GRIPS,TOKYO Tokyo "
First ,01AM020000,PHYSICS                                                                                                                                               ,Shri Saraswati Prasad,P.G.
First ,01AM020000,PHYSICS                                           MATHEMATICS                                       STATISTICS                                        ,Shri Saraswati Prasad,GRADUATE                                          
First ,01AM020800,COMMERCE                                                                                                                                              ,Shri Ravi Capoor,GRADUATE                                          
First ,01AM020800,BUSINESS ADMN.                                                                                                                                        ,Shri Ravi Capoor,P.G.
First ,01AM020100,BOTANY                                            CHEMISTRY                                         ZOOLOGY                                           ,Dr. Shreeranjan,GRADUATE                                          
Ordinary ,01AM020100,MANAGEMENT                                        DEVELOPMENT                                                                                         ,Dr. Shreeranjan,P.G.
First ,01AM020100,BOTANY                                                                                                                                                ,Dr. Shreeranjan,P.G.
 ,01AM020100,BIO-TECHNOLOGY                                                                                                                                        ,Dr. Shreeranjan,"Ph.D,GAUHATI "
First ,01AM020900,ZOOLOGY                                                                                                                                               ,Shri Atul Chaturvedi,P.G.
Second ,01AM020900,ZOOLOGY                                                                                                                                               ,Shri Atul Chaturvedi,GRADUATE                                          
First ,01AM021100,AGRICULTURE                                                                                                                                           ,Shri Peter W Ingty,GRADUATE                                          
First ,01AM021100,AGRONOMY                                                                                                                                              ,Shri Peter W Ingty,P.G.
First ,01AM021200,PHYSICS                                           MATHEMATICS                                       STATISTICS                                        ,Shri M C Jauhari,GRADUATE                                          
First ,01AM021200,PHYSICS                                                                                                                                               ,Shri M C Jauhari,P.G.
Gold Medalist,01AM021400,MEDICINE                                          SURGERY                                                                                             ,Dr. Ajay Kumar Singh,"MBBS                                              ,Patna University Patna"
 ,01AM021400,BUSINESS ADMN.                                                                                                                                        ,Dr. Ajay Kumar Singh,"MBA                                               ,Arizona State University "
 ,01AM021400,HEALTH MANAGEMENT                                                                                                                                     ,Dr. Ajay Kumar Singh,"M.H.S.A.,Arizona State University "
 ,01AM021400,PUBLIC ADMN                                                                                                                                           ,Dr. Ajay Kumar Singh,"Ph.D,Arizona State University "
First ,01AM021600,GEOGRAPHY                                         ENGLISH                                           SANSKRIT                                          ,Shri Ram Mohan Mishra,GRADUATE                                          
First ,01AM021600,GEOGRAPHY                                                                                                                                             ,Shri Ram Mohan Mishra,P.G.
First ,01AM021700,AGRICULTURE                                                                                                                                           ,Shri K Narayana Kumar,P.G.
First ,01AM021700,ACCOUNTANCY                                                                                                                                           ,Shri K Narayana Kumar,P.G.
First ,01AM021700,AGRICULTURE                                                                                                                                           ,Shri K Narayana Kumar,GRADUATE                                          
Second ,01AM021800,BOTANY                                            CHEMISTRY                                         ZOOLOGY                                           ,Shri Pochister Kharkongor,GRADUATE                                          
Ordinary ,01AM021800,FORESTRY                                                                                                                                              ,Shri Pochister Kharkongor,DIPLOMA                                           
First ,01AM021800,BOTANY                                                                                                                                                ,Shri Pochister Kharkongor,P.G.
First ,01AM021900,PHILOSOPHY                                        HISTORY                                                                                             ,Shri Jishnu Barua,GRADUATE                                          
Second ,01AM021900,HISTORY                                                                                                                                               ,Shri Jishnu Barua,P.G.
First ,01AM022300,POLITICAL SC.                                                                                                                                         ,Shri Praveen Kumar Srivastava,P.G.
First ,01AM022300,POLITICAL SC.                                     PSYCHOLOGY                                        HISTORY                                           ,Shri Praveen Kumar Srivastava,GRADUATE                                          
Second ,01AM020600,HISTORY                                                                                                                                               ,Shri Sanjeeva Kumar,"GRADUATE                                          ,Delhi University Delhi"
First ,01AM020600,HISTORY                                                                                                                                               ,Shri Sanjeeva Kumar,"P.G.,Jawaharlal Nehru University New Delhi"
First with Distinction,01AM020600,PUBLIC POLICY                                                                                                                                         ,Shri Sanjeeva Kumar,"P.G.,Institute of Social Studies Hague"
First ,01AM022400,GEOGRAPHY                                         ENGLISH                                           PSYCHOLOGY                                        ,Shri Maninder Singh,GRADUATE                                          
First ,01AM022400,LAW                                                                                                                                                   ,Shri Maninder Singh,LL.B.                                             
First ,01AM022400,PUBLIC ADMN                                                                                                                                           ,Shri Maninder Singh,P.G.
First ,01AM022700,BOTANY                                                                                                                                                ,Ms. Rebecca Vanessa Suchiang,GRADUATE                                          
First ,01AM022700,BOTANY                                                                                                                                                ,Ms. Rebecca Vanessa Suchiang,P.G.
First ,01AM022500,MECH.ENGG.                                                                                                                                            ,Shri Sameer Kumar Khare,B TECH                                            
