city,name,institute,cadre,duration_weeks,idno,training_name,year
Bangalore,Shri Pradeep Kumar Pujari,Indian Institute of Management,Gujarat,1,01GJ021800,Health & Family Welfare,1986-1987
Simla               ,Shri Pradeep Kumar Pujari,Himachal Pradesh Institute of Public Administration                        ,Gujarat,4,01GJ021800,Programme Implementation,1987-1988
Hyderabad           ,Shri Pradeep Kumar Pujari,Institute of Public Enterprise                                             ,Gujarat,1,01GJ021800,Mgmt. of State Enterprises Level I,1989-1990
Mysore,Shri Pradeep Kumar Pujari,Administrative Training Institute,Gujarat,3,01GJ021800,JUNIOR GROUP 1980-83 BATCHES,1990-1991
Calcutta            ,Shri Pradeep Kumar Pujari,Indian Institute of Management Calcutta                                    ,Gujarat,3,01GJ021800,Middle Level - 1979- 85 Batches,1995-1996
New Delhi           ,Shri Pradeep Kumar Pujari,Human Settlement Management Institute                                      ,Gujarat,1,01GJ021800,Tackling Problems of Urban Development & Planning,1998-1999
Hyderabad,Shri Pradeep Kumar Pujari,Administrative Staff College of India,Gujarat,2,01GJ021800,Senior Level - 1981 - 84 Batches,2001-2002
Nainital,Shri Pradeep Kumar Pujari,Uttarakhand  Academy of Administration,Gujarat,1,01GJ021800,Community Mobilisation and Participatory Management,2008-2009
Ahmedabad           ,Ms. Rita A Teaotia,Sardar Patel Institute of Public Administration                            ,Gujarat,1,01GJ021900,Programme Implementation,1985-1986
,Ms. Rita A Teaotia,VMNIC,Gujarat,1,01GJ021900,Cooperation,1986-1987
,Ms. Rita A Teaotia,CMC,Gujarat,1,01GJ021900,MIS & Computer Appl. in Govt Level-I,1987-1988
Mysore,Ms. Rita A Teaotia,Administrative Training Institute,Gujarat,4,01GJ021900,JUNIOR LEVEL 4 WEEKS,1988-1989
Bangalore,Ms. Rita A Teaotia,Indian Institute of Management,Gujarat,1,01GJ021900,Financial Management Level - I,1989-1990
Hyderabad,Ms. Rita A Teaotia,Administrative Staff College of India,Gujarat,3,01GJ021900,Middle Level - 1977- 83 Batches,1993-1994
Nainital,Ms. Rita A Teaotia,Uttarakhand  Academy of Administration,Gujarat,1,01GJ021900,Mgmt.of Environment,1995-1996
Mussoorie,Ms. Rita A Teaotia,Lal Bahadur Shastri National Academy Of Administration,Gujarat,2,01GJ021900,Senior Level - 1981 - 84 Batches,2001-2002
Bangalore,Ms. Rita A Teaotia,National Law School of India University,Gujarat,1,01GJ021900,Administrative Law,2002-2003
Pune                ,Ms. Rita A Teaotia,Tata Management Training Centre                                            ,Gujarat,1,01GJ021900,Strategic Leadership for Policy Makers,2003-2004
Nainital,Ms. Rita A Teaotia,Uttarakhand  Academy of Administration,Gujarat,1,01GJ021900,Community Mobilization and Participatory Management,2010-2011
Shimla,Ms. Rita A Teaotia,National Academy of Audit & Accounts,Gujarat,1,01GJ021900,Improving Governance through Accountability,2011-2012
Ahmedabad           ,Shri D Jagatheesa Pandiyan,Sardar Patel Institute of Public Administration                            ,Gujarat,1,01GJ022100,Programme Implementation,1985-1986
,Shri D Jagatheesa Pandiyan,SIET,Gujarat,1,01GJ022100,Small Scale Industries,1986-1987
Guwahati            ,Shri D Jagatheesa Pandiyan,Assam Administrative Staff College                                         ,Gujarat,4,01GJ022100,JUNIOR LEVEL 4 WEEKS,1988-1989
Hyderabad           ,Shri D Jagatheesa Pandiyan,Dr. MCR HRD Institute of Andhra Pradesh                                    ,Gujarat,1,01GJ022100,MIS & Computer Appl. in Govt Level-I,1989-1990
Bangalore,Shri D Jagatheesa Pandiyan,Indian Institute of Management,Gujarat,3,01GJ022100,Middle Level - 1977- 83 Batches,1993-1994
New Delhi,Shri D Jagatheesa Pandiyan,IILM Institute for Integrated Learning in Management,Gujarat,1,01GJ022100,Management of Environment and Natural Resources,2006-2007
Bangalore,Shri D Jagatheesa Pandiyan,Indian Institute of Management,Gujarat,1,01GJ022100,Changing Agriculture & Rural Development Policies,2009-2010
,Dr. Hasmukh Adhia,VMNIC,Gujarat,1,01GJ022200,Cooperation,1986-1987
Mysore,Dr. Hasmukh Adhia,Administrative Training Institute,Gujarat,4,01GJ022200,JUNIOR LEVEL 4 WEEKS,1988-1989
Calcutta            ,Dr. Hasmukh Adhia,Indian Institute of Management Calcutta                                    ,Gujarat,1,01GJ022200,Mgmt. of State Enterprises Level I,1989-1990
Hyderabad,Dr. Hasmukh Adhia,Administrative Staff College of India,Gujarat,1,01GJ022200,The Administrative Environment,1992-1993
Bangalore,Dr. Hasmukh Adhia,Indian Institute of Management,Gujarat,1,01GJ022200,Re-struc. of India's economic implication,1994-1995
Nainital,Dr. Hasmukh Adhia,Uttarakhand  Academy of Administration,Gujarat,1,01GJ022200,Management of Environment,1996-1997
Ahmedabad           ,Dr. Hasmukh Adhia,Indian Institute of Management                                             ,Gujarat,1,01GJ022200,Infrastructure Development & Financing,1998-1999
Mussoorie,Dr. Hasmukh Adhia,Lal Bahadur Shastri National Academy Of Administration,Gujarat,2,01GJ022200,Senior Level - 1981 - 84 Batches,2001-2002
Bangalore,Dr. Hasmukh Adhia,Indian Institute of Management,Gujarat,1,01GJ022200,Negotiating Strategies and Public Private Partnership,2008-2009
Mussoorie,Dr. Hasmukh Adhia,Lal Bahadur Shastri National Academy Of Administration,Gujarat,1,01GJ022200,Total Quality Management,2010-2011
Mysore,Dr. Hasmukh Adhia,Administrative Training Institute,Gujarat,1,01GJ022200,e-Governance Initiatives in Governance,2011-2012
Hyderabad           ,Shri Ganga Ram Aloria,Institute of Public Enterprise                                             ,Gujarat,1,01GJ022400,Mgmt. of State Enterprises Level I,1986-1987
Ahmedabad           ,Shri Ganga Ram Aloria,Sardar Patel Institute of Public Administration                            ,Gujarat,4,01GJ022400,JUNIOR LEVEL 4 WEEKS,1988-1989
Nainital,Shri Ganga Ram Aloria,Uttarakhand  Academy of Administration,Gujarat,3,01GJ022400,Middle Level - 1981- 87 Batches,1997-1998
New Delhi           ,Shri Ganga Ram Aloria,Human Settlement Management Institute                                      ,Gujarat,1,01GJ022400,Issues in Urban Development,1999-2000
New Delhi           ,Shri Ganga Ram Aloria,Institute of Defence Study & Analysis                                      ,Gujarat,1,01GJ022400,India and the World,2002-2003
New Delhi           ,Dr. Amarjit Singh,Indian Institute of Public Administration                                  ,Gujarat,1,01GJ022500,Anti Poverty Programmes,1986-1987
New Delhi           ,Dr. Amarjit Singh,National Informatics Centre                                                ,Gujarat,1,01GJ022500,Intro./Selecting Computer System,1988-1989
Calcutta            ,Dr. Amarjit Singh,Indian Institute of Management Calcutta                                    ,Gujarat,1,01GJ022500,Mgmt. of State Enterprises Level I,1989-1990
Thiruvananthapuram  ,Dr. Amarjit Singh,Institute of Management in Government                                      ,Gujarat,3,01GJ022500,JUNIOR GROUP 1980-83 BATCHES,1990-1991
Hyderabad,Dr. Amarjit Singh,Administrative Staff College of India,Gujarat,2,01GJ022500,Senior Level-1982-85 Batches,2002-2003
Faridabad           ,Dr. Amarjit Singh,National Institute of Financial Management                                 ,Gujarat,1,01GJ022500,Management of State Finance,2004-2005
"Jaipur
",Dr. Amarjit Singh,Indian Institute of Health Management Research,Gujarat,1,01GJ022500,Capacity Building of NGOs in Leadership and Strategic Management,2006-2007
Panchgani,Dr. Amarjit Singh,IC Centre  for Governance (ICCG),Gujarat,1,01GJ022500,Ethics in Public Governance,2008-2009
Chennai,Dr. Amarjit Singh,Anna Institute of Management,Gujarat,1,01GJ022500,Public Private Partnership,2012-2013
Anand,Shri Tapan Ray,Institute of Rural Management,Gujarat,1,01GJ022501,Animal Husbandry & Dairy Development,1986-1987
New Delhi           ,Shri Tapan Ray,National Informatics Centre                                                ,Gujarat,1,01GJ022501,MIS & Computer Appl. in Govt Level-I,1987-1988
,Shri Tapan Ray,VMNIC,Gujarat,1,01GJ022501,Cooperation,1988-1989
,Shri Tapan Ray,CMC,Gujarat,1,01GJ022501,MIS & Computer Appl. in Govt. Level-II,1989-1990
Hyderabad,Shri Tapan Ray,Administrative Staff College of India,Gujarat,1,01GJ022501,Restructing Indias Economy  Implication,1993-1994
Calcutta            ,Shri Tapan Ray,Indian Institute of Management Calcutta                                    ,Gujarat,3,01GJ022501,Middle Level - 1978- 84 Batches,1994-1995
Hyderabad,Shri Tapan Ray,Administrative Staff College of India,Gujarat,2,01GJ022501,Senior Level - 1981 - 84 Batches,2001-2002
Bangalore,Shri Tapan Ray,National Law School of India University,Gujarat,1,01GJ022501,Administrative Law,2002-2003
New Delhi,Shri Tapan Ray,The Energy and Resources Institute (TERI),Gujarat,1,01GJ022501,Infrastructure Deregulation,2004-2005
Ahmedabad           ,Shri Tapan Ray,Indian Institute of Management                                             ,Gujarat,1,01GJ022501,Infrastructure and Development Finance,2008-2009
,Shri Ashim Khurana,NIPCC,Gujarat,1,01GJ023000,Child Development,1987-1988
New Delhi,Shri Ashim Khurana,Indian Institute of Foreign Trade,Gujarat,1,01GJ023000,International Trade,1988-1989
Bangalore,Shri Ashim Khurana,Indian Institute of Management,Gujarat,1,01GJ023000,Industrial Policy Planning and Dev.,1989-1990
Mysore,Shri Ashim Khurana,Administrative Training Institute,Gujarat,3,01GJ023000,Junior Level - 1984- 87 Batches,1993-1994
New Delhi,Shri Ashim Khurana,HUDCO,Gujarat,1,01GJ023000,Urban Development,1994-1995
,Shri Ashim Khurana,IMI,Gujarat,1,01GJ023000,Management of State Enterprises,1996-1997
Ahmedabad           ,Shri Ashim Khurana,Indian Institute of Management                                             ,Gujarat,1,01GJ023000,Business Process Re-engineering,2000-2001
New Delhi           ,Shri Ashim Khurana,Indian Institute of Public Administration                                  ,Gujarat,1,01GJ023000,Disaster Management,2003-2004
New Delhi,Shri Ashim Khurana,Indian Institute of Foreign Trade,Gujarat,1,01GJ023000,WTO and the New Trade Regime(Basic Course),2004-2005
New Delhi,Shri Ashim Khurana,IILM Institute for Integrated Learning in Management,Gujarat,1,01GJ023000,Public Policy and Management,2012-2013
Hyderabad           ,Shri Jagdip Narayan Singh,Institute of Public Enterprise                                             ,Gujarat,1,01GJ023200,Mgmt. of State Enterprises Level I,1988-1989
Hyderabad           ,Shri Jagdip Narayan Singh,Institute of Public Enterprise                                             ,Gujarat,1,01GJ023200,Mgmt. of State Enterprises Level-II,1989-1990
Thiruvananthapuram  ,Shri Jagdip Narayan Singh,Institute of Management in Government                                      ,Gujarat,3,01GJ023200,Junior Level Programme,1992-1993
New Delhi,Shri Jagdip Narayan Singh,The Energy and Resources Institute (TERI),Gujarat,1,01GJ023200,Energy and Developement,1995-1996
Calcutta            ,Shri Jagdip Narayan Singh,Indian Institute of Management Calcutta                                    ,Gujarat,2,01GJ023200,Middle Level - 1983-89 Batches,1999-2000
Mumbai              ,Shri Jagdip Narayan Singh,National Institute of Industrial Engineering                               ,Gujarat,1,01GJ023200,IT & E-Governance,2001-2002
,Shri O Ravi,IEG,Gujarat,1,01GJ023300,Policy Options in Planned Economy,1987-1988
New Delhi,Shri O Ravi,HUDCO,Gujarat,1,01GJ023300,Urban Development,1988-1989
,Shri O Ravi,ISEC,Gujarat,1,01GJ023300,Agriculture and Rural Development,1989-1990
Nainital,Shri O Ravi,Uttarakhand  Academy of Administration,Gujarat,3,01GJ023300,Junior Level - 1984- 87 Batches,1993-1994
Pune                ,Shri O Ravi,Central Institute of Road Transport                                        ,Gujarat,1,01GJ023300,Transport Policy and  Management,1996-1997
Lucknow             ,Shri O Ravi,Indian Institute of Management                                             ,Gujarat,2,01GJ023300,Middle Level - 1983-89 Batches,1999-2000
New Delhi           ,Shri O Ravi,Institute of Defence Study & Analysis                                      ,Gujarat,1,01GJ023300,India and the World,2004-2005
Bangalore,Shri O Ravi,Indian Institute of Management,Gujarat,1,01GJ023300,E-Governance: Opportunities and Challenges,2006-2007
New Delhi           ,Shri Prem Kumar Taneja,Indian Institute of Public Administration                                  ,Gujarat,1,01GJ023400,Agriculture and Rural Development,1988-1989
Hyderabad           ,Shri Prem Kumar Taneja,Dr. MCR HRD Institute of Andhra Pradesh                                    ,Gujarat,1,01GJ023400,MIS & Computer Appl. in Govt Level-I,1989-1990
New Delhi           ,Shri Prem Kumar Taneja,Indian Institute of Public Administration                                  ,Gujarat,3,01GJ023400,Middle Level - 1978- 84 Batches,1994-1995
Hyderabad,Shri Prem Kumar Taneja,Administrative Staff College of India,Gujarat,1,01GJ023400,International Business Management,1996-1997
Ahmedabad           ,Shri Prem Kumar Taneja,Indian Institute of Management                                             ,Gujarat,1,01GJ023400,Management of Information  Technology,1999-2000
Ahmedabad           ,Shri Prem Kumar Taneja,Indian Institute of Management                                             ,Gujarat,1,01GJ023400,Management of Information  Technology,1999-2000
Hyderabad,Shri Prem Kumar Taneja,Administrative Staff College of India,Gujarat,1,01GJ023400,WTO and the New Trade Regime,2000-2001
Hyderabad,Shri Prem Kumar Taneja,Administrative Staff College of India,Gujarat,2,01GJ023400,Senior Level - 1983-86 Batches,2003-2004
Mussoorie,Shri Prem Kumar Taneja,Lal Bahadur Shastri National Academy Of Administration,Gujarat,1,01GJ023400,Public Private Partnership in Urban Development,2010-2011
New Delhi,Shri Mahavir Singh Dagur,Indian Institute of Foreign Trade,Gujarat,1,01GJ023500,International Trade,1988-1989
Hyderabad           ,Shri Mahavir Singh Dagur,Institute of Public Enterprise                                             ,Gujarat,1,01GJ023500,Mgmt. of State Enterprises Level I,1989-1990
Thiruvananthapuram  ,Shri Mahavir Singh Dagur,Institute of Management in Government                                      ,Gujarat,3,01GJ023500,Junior Level 1982-19 85,1991-1992
Bangalore,Shri Mahavir Singh Dagur,Indian Institute of Management,Gujarat,3,01GJ023500,Middle Level - 1979- 85 Batches,1995-1996
Nainital,Shri Mahavir Singh Dagur,Uttarakhand  Academy of Administration,Gujarat,1,01GJ023500,Management of Environment,1997-1998
Faridabad           ,Shri Mahavir Singh Dagur,National Institute of Financial Management                                 ,Gujarat,1,01GJ023500,Budgeting and Public Expenditure Management,1999-2000
Mussoorie,Shri Mahavir Singh Dagur,Lal Bahadur Shastri National Academy Of Administration,Gujarat,1,01GJ023500,Ethical Issues in Today's Administr ation,2001-2002
Bangalore,Shri Mahavir Singh Dagur,National Institute of Advanced Studies,Gujarat,1,01GJ023500,Disaster Management,2004-2005
Calcutta            ,Shri Arvind Agrawal,Indian Institute of Management Calcutta                                    ,Gujarat,1,01GJ023600,Public Distribution System,1988-1989
Chennai             ,Shri Arvind Agrawal,Institute of Financial Management and Research                             ,Gujarat,1,01GJ023600,Financial Management Level - I,1989-1990
Jaipur              ,Shri Arvind Agrawal,HCM Rajasthan State Institute of Public Administration                     ,Gujarat,3,01GJ023600,Junior Level - 1984- 87 Batches,1993-1994
New Delhi           ,Shri Arvind Agrawal,National Informatics Centre                                                ,Gujarat,1,01GJ023600,Information Tech. in Government,1996-1997
Mussoorie,Shri Arvind Agrawal,Lal Bahadur Shastri National Academy Of Administration,Gujarat,2,01GJ023600,Middle Level - 1982-88 Batches,1998-1999
Mussoorie,Shri Arvind Agrawal,Lal Bahadur Shastri National Academy Of Administration,Gujarat,2,01GJ023600,Senior Level-1982-85 Batches,2002-2003
New Delhi,Shri Arvind Agrawal,National Institute of Information Technology                               ,Gujarat,1,01GJ023600,GIS:Decision Tools for Public Policy,2005-2006
New Delhi,Shri Arvind Agrawal,National Institute of Public Finance and Policy,Gujarat,1,01GJ023600,Fiscal Policy and Macro Economic Management,2011-2012
New Delhi           ,Shri Sujit Gulati,National Institute of Health and Family Welfare                            ,Gujarat,1,01GJ023800,Health & Family Welfare,1989-1990
Nainital,Shri Sujit Gulati,Uttarakhand  Academy of Administration,Gujarat,3,01GJ023800,Junior Level - 1984- 87 Batches,1993-1994
New Delhi,Shri Sujit Gulati,The Energy and Resources Institute (TERI),Gujarat,1,01GJ023800,Management of Environment,1997-1998
Bangalore,Shri Sujit Gulati,Indian Institute of Management,Gujarat,2,01GJ023800,Middle Level - 1984-90 Batches,2000-2001
Mussoorie,Shri Sujit Gulati,Lal Bahadur Shastri National Academy Of Administration,Gujarat,2,01GJ023800,Senior Level-1982-85 Batches,2002-2003
Ahmedabad           ,Shri Sujit Gulati,Indian Institute of Management                                             ,Gujarat,1,01GJ023800,Leadership and Change Management,2005-2006
,Shri Anil Gopishankar Mukim,IEG,Gujarat,1,01GJ024000,Industrial Policy Planning and Dev.,1989-1990
Nainital,Shri Anil Gopishankar Mukim,Uttarakhand  Academy of Administration,Gujarat,3,01GJ024000,Junior Level Programme,1992-1993
Calcutta            ,Shri Anil Gopishankar Mukim,Indian Institute of Management Calcutta                                    ,Gujarat,3,01GJ024000,Middle Level - 1980- 86 Batches,1996-1997
Mussoorie,Shri Anil Gopishankar Mukim,Lal Bahadur Shastri National Academy Of Administration,Gujarat,1,01GJ024000,Universalising Education,1998-1999
Gurgaon,Shri Atanu Chakraborty,Management Development Institute,Gujarat,1,01GJ024100,Develop. Banking & Insttl. Credit,1989-1990
Nainital,Shri Atanu Chakraborty,Uttarakhand  Academy of Administration,Gujarat,3,01GJ024100,Junior Level - 1984- 87 Batches,1993-1994
Ahmedabad           ,Shri Atanu Chakraborty,Indian Institute of Management                                             ,Gujarat,2,01GJ024100,Middle Level - 1984-90 Batches,2000-2001
Ahmedabad           ,Shri Atanu Chakraborty,Indian Institute of Management                                             ,Gujarat,2,01GJ024100,Middle Level - 1984-90 Batches,2000-2001
Hyderabad,Shri Atanu Chakraborty,Administrative Staff College of India,Gujarat,1,01GJ024100,Public Private Partnership,2009-2010
,Shri Anand Mohan Tiwari,NIUA,Gujarat,1,01GJ024200,Urban Development,1989-1990
Nainital,Shri Anand Mohan Tiwari,Uttarakhand  Academy of Administration,Gujarat,3,01GJ024200,Junior Level - 1984- 87 Batches,1993-1994
Ahmedabad           ,Shri Anand Mohan Tiwari,Indian Institute of Management                                             ,Gujarat,2,01GJ024200,Middle Level - 1984-90 Batches,2000-2001
Ahmedabad           ,Shri Anand Mohan Tiwari,Indian Institute of Management                                             ,Gujarat,2,01GJ024200,Middle Level - 1984-90 Batches,2000-2001
Bangalore,Shri Anand Mohan Tiwari,Indian Institute of Management,Gujarat,1,01GJ024200,Negotiating Stretegies and Public Private Partnership,2007-2008
Hyderabad,Shri Anand Mohan Tiwari,Administrative Staff College of India,Gujarat,1,01GJ024200,Infrastructure Finance,2012-2013
Shimla,Shri Anand Mohan Tiwari,National Academy of Audit & Accounts,Gujarat,1,01GJ024200,Improving Governance through Accountability,2013-2014
Pune                ,Shri Dina Nath Pandey,Tata Management Training Centre                                            ,Gujarat,1,01GJ024300,Financial Management Level - I,1989-1990
Nainital,Shri Dina Nath Pandey,Uttarakhand  Academy of Administration,Gujarat,3,01GJ024300,Junior Level - 1984- 87 Batches,1993-1994
Hyderabad,Shri Dina Nath Pandey,Administrative Staff College of India,Gujarat,1,01GJ024300,Project Management- Basic,1996-1997
Mussoorie,Shri Dina Nath Pandey,Lal Bahadur Shastri National Academy Of Administration,Gujarat,2,01GJ024300,Middle Level - 1983-89 Batches,1999-2000
Mussoorie,Shri Dina Nath Pandey,Lal Bahadur Shastri National Academy Of Administration,Gujarat,2,01GJ024300,Middle Level - 1983-89 Batches,1999-2000
New Delhi           ,Shri Dina Nath Pandey,Human Settlement Management Institute                                      ,Gujarat,1,01GJ024300,Urban Infrastructure Development,2001-2002
Hyderabad,Shri Dina Nath Pandey,Administrative Staff College of India,Gujarat,1,01GJ024300,Advanced Course on WTO,2002-2003
Hyderabad,Shri Dina Nath Pandey,Administrative Staff College of India,Gujarat,1,01GJ024300,Advanced Course on WTO,2007-2008
Mussoorie,Shri Dina Nath Pandey,Lal Bahadur Shastri National Academy Of Administration,Gujarat,1,01GJ024300,Ethical Issues in Today's Administration,2008-2009
Mysore,Shri Dina Nath Pandey,Administrative Training Institute,Gujarat,1,01GJ024300,e-Governance Initiatives in Administration,2012-2013
New Delhi,Shri Prem Kumar Gera,Indian Institute of Foreign Trade,Gujarat,1,01GJ024400,International Trade,1989-1990
Nainital,Shri Prem Kumar Gera,Uttarakhand  Academy of Administration,Gujarat,3,01GJ024400,Junior Level - 1984- 87 Batches,1993-1994
Nainital,Shri Prem Kumar Gera,Uttarakhand  Academy of Administration,Gujarat,1,01GJ024400,Management of Environment,1996-1997
Mussoorie,Shri Prem Kumar Gera,Lal Bahadur Shastri National Academy Of Administration,Gujarat,2,01GJ024400,Middle Level - 1985 - 91 Batches,2001-2002
Mussoorie,Shri Prem Kumar Gera,Lal Bahadur Shastri National Academy Of Administration,Gujarat,1,01GJ024400,Ethical Issues in Administration,2009-2010
Ahmedabad           ,Shri P. K. Parmar,Indian Institute of Management                                             ,Gujarat,1,01GJ024600,Industrial Policy Planning and Dev.,1989-1990
Mussoorie,Shri P. K. Parmar,Lal Bahadur Shastri National Academy Of Administration,Gujarat,3,01GJ024600,Junior Level - 1984- 87 Batches,1993-1994
Ahmedabad           ,Shri P. K. Parmar,Indian Institute of Management                                             ,Gujarat,1,01GJ024600,Public Policy Analysis,1997-1998
Calcutta            ,Shri P. K. Parmar,Indian Institute of Management Calcutta                                    ,Gujarat,2,01GJ024600,Middle Level - 1983-89 Batches,1999-2000
Hyderabad,Shri P. K. Parmar,Administrative Staff College of India,Gujarat,1,01GJ024600,Infrastructure Development & Financing,2001-2002
Mussoorie,Shri P. K. Parmar,Lal Bahadur Shastri National Academy Of Administration,Gujarat,2,01GJ024600,Senior Level-1982-85 Batches,2002-2003
Nainital,Shri P. K. Parmar,Uttarakhand  Academy of Administration,Gujarat,1,01GJ024600,Community Mobilization & Participatory Management,2011-2012
Shimla,Shri P. K. Parmar,National Academy of Audit & Accounts,Gujarat,1,01GJ024600,Improving Governance through Accountability,2012-2013
Calcutta            ,Shri Girish Chandra Murmu,Indian Institute of Management Calcutta                                    ,Gujarat,1,01GJ024700,Mgmt.of Environment,1989-1990
Ahmedabad           ,Shri Girish Chandra Murmu,Sardar Patel Institute of Public Administration                            ,Gujarat,3,01GJ024700,Junior Level - 1984- 87 Batches,1993-1994
Nainital,Shri Girish Chandra Murmu,Uttarakhand  Academy of Administration,Gujarat,1,01GJ024700,Management of Environment,1996-1997
Mussoorie,Shri Girish Chandra Murmu,Lal Bahadur Shastri National Academy Of Administration,Gujarat,2,01GJ024700,Middle Level - 1982-88 Batches,1998-1999
Shimla,Shri Girish Chandra Murmu,National Academy of Audit & Accounts,Gujarat,1,01GJ024700,Budgeting and Public Expenditure Management,2000-2001
Hyderabad,Shri Girish Chandra Murmu,Administrative Staff College of India,Gujarat,2,01GJ024700,Senior Level - 1983-86 Batches,2003-2004
Hyderabad,Shri Girish Chandra Murmu,Administrative Staff College of India,Gujarat,1,01GJ024700,Advanced Course on WTO,2009-2010
Nainital,Shri Vipul Mittra,Uttarakhand  Academy of Administration,Gujarat,3,01GJ024900,Junior Level - 1985- 88 Batches,1994-1995
Pune                ,Shri Vipul Mittra,Central Institute of Road Transport                                        ,Gujarat,1,01GJ024900,Transport Policy and  Management,1997-1998
Bangalore,Shri Vipul Mittra,Indian Institute of Management,Gujarat,2,01GJ024900,Middle Level - 1984-90 Batches,2000-2001
Mussoorie,Shri Vipul Mittra,Lal Bahadur Shastri National Academy Of Administration,Gujarat,1,01GJ024900,Ethical Issues in Administration,2009-2010
Panchgani,Shri Vipul Mittra,IC Centre  for Governance (ICCG),Gujarat,1,01GJ024900,Ethics in Public Governance,2013-2014
Mysore,Dr. Rajiv Kumar Gupta,Administrative Training Institute,Gujarat,3,01GJ025000,Junior Level - 1985- 88 Batches,1994-1995
New Delhi,Dr. Rajiv Kumar Gupta,The Energy and Resources Institute (TERI),Gujarat,1,01GJ025000,Infrastructure De-regulation,2006-2007
Nainital,Ms. Sangeeta Singh,Uttarakhand  Academy of Administration,Gujarat,3,01GJ025200,Junior Level - 1984- 87 Batches,1993-1994
New Delhi           ,Ms. Sangeeta Singh,Human Settlement Management Institute                                      ,Gujarat,1,01GJ025200,Urban Development,1997-1998
New Delhi           ,Ms. Sangeeta Singh,Indian Institute of Public Administration                                  ,Gujarat,2,01GJ025200,Middle Level - 1985 - 91 Batches,2001-2002
Mussoorie,Ms. Sangeeta Singh,Lal Bahadur Shastri National Academy Of Administration,Gujarat,2,01GJ025200,Senior Level (17-20 years serivce),2004-2005
Ahmedabad           ,Dr. Guruprasad Mohapatra,Sardar Patel Institute of Public Administration                            ,Gujarat,3,01GJ025300,Junior Level - 1984- 87 Batches,1993-1994
New Delhi,Dr. Guruprasad Mohapatra,The Energy and Resources Institute (TERI),Gujarat,1,01GJ025300,Management of Environment,1996-1997
Mussoorie,Dr. Guruprasad Mohapatra,Lal Bahadur Shastri National Academy Of Administration,Gujarat,2,01GJ025300,Middle Level - 1983-89 Batches,1999-2000
Mussoorie,Dr. Guruprasad Mohapatra,Lal Bahadur Shastri National Academy Of Administration,Gujarat,2,01GJ025300,Middle Level - 1983-89 Batches,1999-2000
Mumbai              ,Dr. Guruprasad Mohapatra,National Institute of Industrial Engineering                               ,Gujarat,1,01GJ025300,IT & E-Governance,2001-2002
Bangalore,Dr. Guruprasad Mohapatra,National Law School of India University,Gujarat,1,01GJ025300,Administrative Law,2002-2003
New Delhi,Dr. Guruprasad Mohapatra,Indian Institute of Foreign Trade,Gujarat,1,01GJ025300,Basic Course on WTO,2006-2007
Panchgani,Dr. Guruprasad Mohapatra,IC Centre  for Governance (ICCG),Gujarat,1,01GJ025300,Ethics in Public Governance,2012-2013
Mysore,Shri Pankaj Kumar,Administrative Training Institute,Gujarat,3,01GJ025400,Junior Level - 1984- 87 Batches,1993-1994
Mussoorie,Shri Pankaj Kumar,Lal Bahadur Shastri National Academy Of Administration,Gujarat,2,01GJ025400,Middle Level - 1983-89 Batches,1999-2000
Mussoorie,Shri Pankaj Kumar,Lal Bahadur Shastri National Academy Of Administration,Gujarat,2,01GJ025400,Middle Level - 1983-89 Batches,1999-2000
Bangalore,Shri Pankaj Kumar,Indian Institute of Management,Gujarat,1,01GJ025400,Infrastructure Development & Financing,2001-2002
Bangalore,Shri Pankaj Kumar,Indian Institute of Management,Gujarat,1,01GJ025400,Negotiating Strategies and Public Private Partnership,2006-2007
New Delhi,Shri Pankaj Kumar,Indian Institute of Foreign Trade,Gujarat,1,01GJ025400,Advanced Course on World Trade Organisation (WTO),2008-2009
Guwahati            ,Shri P D Vaghela,Assam Administrative Staff College                                         ,Gujarat,3,01GJ025500,Junior Level - 1984- 87 Batches,1993-1994
Bangalore,Shri P D Vaghela,Indian Institute of Management,Gujarat,2,01GJ025500,Middle Level-1986-92 Batches,2002-2003
Hyderabad,Shri P D Vaghela,Administrative Staff College of India,Gujarat,2,01GJ025500,Senior Level - 1983-86 Batches,2003-2004
New Delhi,Shri P D Vaghela,IILM Institute for Integrated Learning in Management,Gujarat,1,01GJ025500,Management of Environment and Natural Resources,2006-2007
Indore,Shri P D Vaghela,Indian Institute of Management,Gujarat,1,01GJ025500,Leadership Development Programme,2009-2010
Nainital,Shri P D Vaghela,Uttarakhand  Academy of Administration,Gujarat,1,01GJ025500,Community Mobilization and Participatory Management,2010-2011
Shimla,Shri P D Vaghela,National Academy of Audit & Accounts,Gujarat,1,01GJ025500,Improving Governance through Accountability,2014-2015
Nainital,Shri Sanjay Prasad,Uttarakhand  Academy of Administration,Gujarat,3,01GJ025700,Junior Level - 1984- 87 Batches,1993-1994
New Delhi,Shri Sanjay Prasad,The Energy and Resources Institute (TERI),Gujarat,1,01GJ025700,Management of Environment,1996-1997
New Delhi           ,Shri Sanjay Prasad,Indian Institute of Public Administration                                  ,Gujarat,2,01GJ025700,Middle Level - 1985 - 91 Batches,2001-2002
New Delhi           ,Shri Sanjay Prasad,Institute of Defence Study & Analysis                                      ,Gujarat,1,01GJ025700,India and the World,2002-2003
Mussoorie,Shri Sanjay Prasad,Lal Bahadur Shastri National Academy Of Administration,Gujarat,2,01GJ025700,Senior Level (17-20 years serivce),2004-2005
