ID,Name,Service,Cadre,Reference_Value,Qualification,Subject,Division,Source
KL002600,Shri V Ramachandran,Indian Administrative Service,Kerala,2,P.G.,Development Economics,Ordinary,Supremo
KL002600,Shri V Ramachandran,Indian Administrative Service,Kerala,4,P.G.,Geology,Ordinary,Supremo
KL002600,Shri V Ramachandran,Indian Administrative Service,Kerala,6,P.G.,Petrology,Ordinary,Supremo
KN004800,Shri Ab Datar,Indian Administrative Service,Karnataka,0,Graduate,Commerce,First,Supremo
KN004800,Shri Ab Datar,Indian Administrative Service,Karnataka,2,Graduate,Law,First,Supremo
KN004900,Shri S Varadan,Indian Administrative Service,Karnataka,0,Graduate,Mathematics,First,Supremo
OR005500,Shri Js Baijal,Indian Administrative Service,Odisha,0,Graduate,Economics,Second,Supremo
OR005500,Shri Js Baijal,Indian Administrative Service,Odisha,2,P.G.,Economics,Ordinary,Supremo
WB006800,Ms. Roma Mazumdar,Indian Administrative Service,West Bengal,0,Graduate,English,Second,Supremo
MH008100,Shri A D Samant,Indian Administrative Service,Maharashtra,0,Graduate,Economics,First,Supremo
MH008100,Shri A D Samant,Indian Administrative Service,Maharashtra,2,P.G.,Economics,First,Supremo
MH008300,Shri S Ramakrishna,Indian Administrative Service,Maharashtra,0,Diploma,Electrical Engg.,Ordinary,Supremo
MH008300,Shri S Ramakrishna,Indian Administrative Service,Maharashtra,2,Graduate,Law,Ordinary,Supremo
MH008300,Shri S Ramakrishna,Indian Administrative Service,Maharashtra,4,Graduate,Mathematics,Ordinary,Supremo
MH008300,Shri S Ramakrishna,Indian Administrative Service,Maharashtra,6,P.G.,Economics,First,Supremo
MH008400,Shri K K Uppal,Indian Administrative Service,Maharashtra,0,Graduate,English Lit,Second,Supremo
MH008400,Shri K K Uppal,Indian Administrative Service,Maharashtra,2,P.G.,English Lit,Second,Supremo
MP007800,Shri B Swarup,Indian Administrative Service,Madhya Pradesh,0,Graduate,English,Second,Supremo
MP007800,Shri B Swarup,Indian Administrative Service,Madhya Pradesh,2,P.G.,Economics,Second,Supremo
MP007900,Shri Rn Chopra,Indian Administrative Service,Madhya Pradesh,0,Graduate,Zoology,Second,Supremo
MP007900,Shri Rn Chopra,Indian Administrative Service,Madhya Pradesh,2,P.G.,Geology,First,Supremo
MP008000,Dr. Kcs Acharya,Indian Administrative Service,Madhya Pradesh,0,Graduate,Commerce,Second,Supremo
MP008000,Dr. Kcs Acharya,Indian Administrative Service,Madhya Pradesh,2,P.G.,Commerce,First,Supremo
MP008000,Dr. Kcs Acharya,Indian Administrative Service,Madhya Pradesh,4,Ph. D.,Economics,Ordinary,Supremo
MP008100,Shri Ms Singh Deo,Indian Administrative Service,Madhya Pradesh,0,Graduate,Economics,Second,Supremo
MP008100,Shri Ms Singh Deo,Indian Administrative Service,Madhya Pradesh,2,P.G.,History,Second,Supremo
OR005300,Shri C Venkataramani,Indian Administrative Service,Odisha,0,Graduate,Chemistry,First,Supremo
OR005300,Shri C Venkataramani,Indian Administrative Service,Odisha,2,P.G.,Chemistry,First,Supremo
OR005400,Shri Nk Panda,Indian Administrative Service,Odisha,0,Graduate,Economics,First,Supremo
OR005400,Shri Nk Panda,Indian Administrative Service,Odisha,2,P.G.,Economics,Second,Supremo
OR005600,Shri P S H Mohamed,Indian Administrative Service,Odisha,0,Graduate,English Lit,First,Supremo
PB002600,Shri P K Kathpalia,Indian Administrative Service,Punjab,0,Graduate,English,First,Supremo
PB002600,Shri P K Kathpalia,Indian Administrative Service,Punjab,2,P.G.,English,Second,Supremo
RJ005900,Shri Mohan Lal Anand,Indian Administrative Service,Rajasthan,0,Graduate,Physics,First,Supremo
RJ005900,Shri Mohan Lal Anand,Indian Administrative Service,Rajasthan,2,P.G.,Physics,First,Supremo
TN005600,Shri Tn Seshan,Indian Administrative Service,Tamil Nadu,0,Graduate,Physics,First,Supremo
TN005600,Shri Tn Seshan,Indian Administrative Service,Tamil Nadu,2,P.G.,Public Admn,First,Supremo
TN005700,Shri Pn Vedanaraynan,Indian Administrative Service,Tamil Nadu,0,P.G.,Economics,Second,Supremo
TN005700,Shri Pn Vedanaraynan,Indian Administrative Service,Tamil Nadu,2,P.G.,Political Sc.,Second,Supremo
TN005800,Shri As Ahluwalia,Indian Administrative Service,Tamil Nadu,0,Graduate,Economics,Second,Supremo
TN005800,Shri As Ahluwalia,Indian Administrative Service,Tamil Nadu,2,P.G.,Economics,Second,Supremo
AP006700,Shri K Subramanyam,Indian Administrative Service,Andhra Pradesh,0,Graduate,Law,Second,Supremo
AP006700,Shri K Subramanyam,Indian Administrative Service,Andhra Pradesh,2,Graduate,Physics,Third,Supremo
AP006800,Shri V K Dar,Indian Administrative Service,Andhra Pradesh,0,Graduate,Economics,Second,Supremo
AP006800,Shri V K Dar,Indian Administrative Service,Andhra Pradesh,2,P.G.,Philosophy,First,Supremo
AP006900,Shri V P Ramarao,Indian Administrative Service,Andhra Pradesh,0,Graduate,Economics,First,Supremo
AP006900,Shri V P Ramarao,Indian Administrative Service,Andhra Pradesh,2,Graduate,Law,Second,Supremo
AP007000,Shri Spb Subramanian,Indian Administrative Service,Andhra Pradesh,0,Graduate,Chemistry,Ordinary,Supremo
AP007000,Shri Spb Subramanian,Indian Administrative Service,Andhra Pradesh,2,P.G.,Chemistry,First,Supremo
AP007100,Shri Kvss Narayana,Indian Administrative Service,Andhra Pradesh,0,Graduate,Accountancy,Second,Supremo
AP007100,Shri Kvss Narayana,Indian Administrative Service,Andhra Pradesh,2,Graduate,Law,First,Supremo
AP007100,Shri Kvss Narayana,Indian Administrative Service,Andhra Pradesh,4,P.G.,Accountancy,Second,Supremo
AP007200,Shri D S Guruswamy,Indian Administrative Service,Andhra Pradesh,0,Graduate,Physics,Second,Supremo
AP007200,Shri D S Guruswamy,Indian Administrative Service,Andhra Pradesh,2,P.G.,Physics,First,Supremo
AP007400,Shri Narendra Luther,Indian Administrative Service,Andhra Pradesh,0,Graduate,Economics,First,Supremo
AP007400,Shri Narendra Luther,Indian Administrative Service,Andhra Pradesh,2,P.G.,Economics,Ordinary,Supremo
BH009500,Shri Ps Kohli,Indian Administrative Service,Bihar,0,Graduate,Chemistry,First,Supremo
BH009500,Shri Ps Kohli,Indian Administrative Service,Bihar,2,P.G.,Chemistry,First,Supremo
BH009600,Shri R Srinivasan,Indian Administrative Service,Bihar,0,Graduate,Economics,First,Supremo
BH009600,Shri R Srinivasan,Indian Administrative Service,Bihar,2,P.G.,Economic Dev.,Ordinary,Supremo
BH009800,Shri Ss Sharan,Indian Administrative Service,Bihar,0,Graduate,Economics,Second,Supremo
BH009900,Shri Vv Nathan,Indian Administrative Service,Bihar,0,Graduate,Physics,Second,Supremo
BH009900,Shri Vv Nathan,Indian Administrative Service,Bihar,2,P.G.,Economics,Ordinary,Supremo
GJ004100,Shri Rv Chandramaoul,Indian Administrative Service,Gujarat,0,Graduate,Mathematics,Second,Supremo
GJ004200,Ms. S L Singla,Indian Administrative Service,Gujarat,0,Graduate,Mathematics,First,Supremo
GJ004200,Ms. S L Singla,Indian Administrative Service,Gujarat,2,P.G.,English Lit,Second,Supremo
UP017300,Shri Gn Mehra,Indian Administrative Service,Uttar Pradesh,0,Graduate,History,First,Supremo
UP017300,Shri Gn Mehra,Indian Administrative Service,Uttar Pradesh,2,Graduate,Law,First,Supremo
UP017300,Shri Gn Mehra,Indian Administrative Service,Uttar Pradesh,4,P.G.,History,First,Supremo
UP017400,Shri Jak Krishnan,Indian Administrative Service,Uttar Pradesh,0,Diploma,German,First,Supremo
UP017400,Shri Jak Krishnan,Indian Administrative Service,Uttar Pradesh,2,Graduate,Chemistry,Second,Supremo
UP017400,Shri Jak Krishnan,Indian Administrative Service,Uttar Pradesh,4,P.G.,Physical Chem,Second,Supremo
UP017500,Shri Pc Jain,Indian Administrative Service,Uttar Pradesh,0,Graduate,Economics,Second,Supremo
UP017500,Shri Pc Jain,Indian Administrative Service,Uttar Pradesh,2,Graduate,Law,First,Supremo
UP017500,Shri Pc Jain,Indian Administrative Service,Uttar Pradesh,4,P.G.,Economics,Second,Supremo
UT000600,Shri K Banerji,Indian Administrative Service,A G M U T,0,N.A.,N.A.,Ordinary,Supremo
WB007500,Shri D Bandhopadhyay,Indian Administrative Service,West Bengal,0,Graduate,Economics,First,Supremo
WB007500,Shri D Bandhopadhyay,Indian Administrative Service,West Bengal,2,P.G.,Economics,First,Supremo
WB007600,Shri Dw Telang,Indian Administrative Service,West Bengal,0,Diploma,Indl.mgt,Ordinary,Supremo
WB007600,Shri Dw Telang,Indian Administrative Service,West Bengal,2,Graduate,Economics,First,Supremo
WB007600,Shri Dw Telang,Indian Administrative Service,West Bengal,4,Graduate,Law,First,Supremo
WB007600,Shri Dw Telang,Indian Administrative Service,West Bengal,6,P.G.,Economics,Ordinary,Supremo
WB007700,Shri A Choudhuri,Indian Administrative Service,West Bengal,0,Graduate,History,Second,Supremo
WB007700,Shri A Choudhuri,Indian Administrative Service,West Bengal,2,Graduate,Law,Ordinary,Supremo
WB007700,Shri A Choudhuri,Indian Administrative Service,West Bengal,4,P.G.,Political Sc.,Second,Supremo
WB007800,Shri Rn Sen Gupta,Indian Administrative Service,West Bengal,0,Graduate,History,Second,Supremo
WB007800,Shri Rn Sen Gupta,Indian Administrative Service,West Bengal,2,P.G.,History,Second,Supremo
